Press Enter to quit: NBits: 1920 	NErrs: 0 	BER: 0.0000E+00
NBits: 880480 	NErrs: 131 	BER: 1.4878E-04
NBits: 880640 	NErrs: 131 	BER: 1.4876E-04
NBits: 884640 	NErrs: 134 	BER: 1.5147E-04
NBits: 888640 	NErrs: 134 	BER: 1.5079E-04
NBits: 892640 	NErrs: 135 	BER: 1.5124E-04
NBits: 900800 	NErrs: 138 	BER: 1.5320E-04
NBits: 902720 	NErrs: 138 	BER: 1.5287E-04
NBits: 906720 	NErrs: 138 	BER: 1.5220E-04
NBits: 908640 	NErrs: 139 	BER: 1.5298E-04
NBits: 912640 	NErrs: 139 	BER: 1.5231E-04
NBits: 913440 	NErrs: 139 	BER: 1.5217E-04
NBits: 915360 	NErrs: 139 	BER: 1.5185E-04
NBits: 917280 	NErrs: 139 	BER: 1.5153E-04
NBits: 920320 	NErrs: 139 	BER: 1.5103E-04
NBits: 921280 	NErrs: 139 	BER: 1.5088E-04
NBits: 923680 	NErrs: 139 	BER: 1.5049E-04
NBits: 925600 	NErrs: 140 	BER: 1.5125E-04
NBits: 929600 	NErrs: 140 	BER: 1.5060E-04
NBits: 930560 	NErrs: 140 	BER: 1.5045E-04
NBits: 932480 	NErrs: 141 	BER: 1.5121E-04
NBits: 934400 	NErrs: 141 	BER: 1.5090E-04
NBits: 936320 	NErrs: 141 	BER: 1.5059E-04
NBits: 937280 	NErrs: 141 	BER: 1.5044E-04
NBits: 939200 	NErrs: 141 	BER: 1.5013E-04
NBits: 943200 	NErrs: 141 	BER: 1.4949E-04
NBits: 945120 	NErrs: 141 	BER: 1.4919E-04
NBits: 946240 	NErrs: 141 	BER: 1.4901E-04
NBits: 948160 	NErrs: 142 	BER: 1.4976E-04
NBits: 952640 	NErrs: 142 	BER: 1.4906E-04
NBits: 954560 	NErrs: 143 	BER: 1.4981E-04
NBits: 956480 	NErrs: 143 	BER: 1.4951E-04
NBits: 959840 	NErrs: 143 	BER: 1.4898E-04
NBits: 961760 	NErrs: 143 	BER: 1.4869E-04
NBits: 965760 	NErrs: 144 	BER: 1.4911E-04
NBits: 969760 	NErrs: 145 	BER: 1.4952E-04
NBits: 973760 	NErrs: 145 	BER: 1.4891E-04
NBits: 977760 	NErrs: 146 	BER: 1.4932E-04
NBits: 979040 	NErrs: 146 	BER: 1.4913E-04
NBits: 981920 	NErrs: 146 	BER: 1.4869E-04
NBits: 982400 	NErrs: 146 	BER: 1.4862E-04
NBits: 986880 	NErrs: 146 	BER: 1.4794E-04
NBits: 990880 	NErrs: 146 	BER: 1.4734E-04
NBits: 992800 	NErrs: 146 	BER: 1.4706E-04
NBits: 994720 	NErrs: 146 	BER: 1.4677E-04
NBits: 996640 	NErrs: 146 	BER: 1.4649E-04
NBits: 998560 	NErrs: 146 	BER: 1.4621E-04
NBits: 1002560 	NErrs: 148 	BER: 1.4762E-04
NBits: 1006560 	NErrs: 149 	BER: 1.4803E-04
NBits: 1010560 	NErrs: 151 	BER: 1.4942E-04
NBits: 1011840 	NErrs: 151 	BER: 1.4923E-04
NBits: 1014720 	NErrs: 151 	BER: 1.4881E-04
NBits: 1016960 	NErrs: 151 	BER: 1.4848E-04
NBits: 1023360 	NErrs: 151 	BER: 1.4755E-04
NBits: 1031200 	NErrs: 154 	BER: 1.4934E-04
NBits: 1034080 	NErrs: 154 	BER: 1.4892E-04
NBits: 1034720 	NErrs: 154 	BER: 1.4883E-04
NBits: 1036640 	NErrs: 154 	BER: 1.4856E-04
NBits: 1040640 	NErrs: 156 	BER: 1.4991E-04
NBits: 1042560 	NErrs: 156 	BER: 1.4963E-04
NBits: 1044480 	NErrs: 157 	BER: 1.5031E-04
NBits: 1046400 	NErrs: 157 	BER: 1.5004E-04
NBits: 1048320 	NErrs: 157 	BER: 1.4976E-04
NBits: 1051360 	NErrs: 158 	BER: 1.5028E-04
NBits: 1054880 	NErrs: 158 	BER: 1.4978E-04
NBits: 1058880 	NErrs: 159 	BER: 1.5016E-04
NBits: 1064800 	NErrs: 162 	BER: 1.5214E-04
NBits: 1068800 	NErrs: 162 	BER: 1.5157E-04
NBits: 1077280 	NErrs: 163 	BER: 1.5131E-04
NBits: 1079200 	NErrs: 164 	BER: 1.5196E-04
NBits: 1080160 	NErrs: 164 	BER: 1.5183E-04
NBits: 1082080 	NErrs: 164 	BER: 1.5156E-04
NBits: 1086080 	NErrs: 164 	BER: 1.5100E-04
NBits: 1090080 	NErrs: 169 	BER: 1.5503E-04
NBits: 1090560 	NErrs: 171 	BER: 1.5680E-04
NBits: 1092480 	NErrs: 171 	BER: 1.5652E-04
NBits: 1094400 	NErrs: 172 	BER: 1.5716E-04
NBits: 1096320 	NErrs: 172 	BER: 1.5689E-04
NBits: 1100800 	NErrs: 173 	BER: 1.5716E-04
NBits: 1101120 	NErrs: 173 	BER: 1.5711E-04
NBits: 1102080 	NErrs: 173 	BER: 1.5698E-04
NBits: 1103040 	NErrs: 174 	BER: 1.5775E-04
NBits: 1103680 	NErrs: 174 	BER: 1.5765E-04
NBits: 1105600 	NErrs: 174 	BER: 1.5738E-04
NBits: 1110080 	NErrs: 174 	BER: 1.5675E-04
NBits: 1112000 	NErrs: 174 	BER: 1.5647E-04
NBits: 1123680 	NErrs: 176 	BER: 1.5663E-04
NBits: 1127040 	NErrs: 176 	BER: 1.5616E-04
NBits: 1128960 	NErrs: 176 	BER: 1.5590E-04
NBits: 1132960 	NErrs: 176 	BER: 1.5535E-04
NBits: 1136960 	NErrs: 176 	BER: 1.5480E-04
NBits: 1140960 	NErrs: 176 	BER: 1.5426E-04
NBits: 1142880 	NErrs: 177 	BER: 1.5487E-04
NBits: 1144480 	NErrs: 177 	BER: 1.5466E-04
NBits: 1146400 	NErrs: 178 	BER: 1.5527E-04
NBits: 1149760 	NErrs: 178 	BER: 1.5481E-04
NBits: 1151680 	NErrs: 178 	BER: 1.5456E-04
NBits: 1152640 	NErrs: 178 	BER: 1.5443E-04
NBits: 1153120 	NErrs: 178 	BER: 1.5436E-04
NBits: 1155040 	NErrs: 178 	BER: 1.5411E-04
NBits: 1155680 	NErrs: 178 	BER: 1.5402E-04
NBits: 1156480 	NErrs: 178 	BER: 1.5392E-04
NBits: 1160480 	NErrs: 179 	BER: 1.5425E-04
NBits: 1164480 	NErrs: 179 	BER: 1.5372E-04
NBits: 1168480 	NErrs: 179 	BER: 1.5319E-04
NBits: 1172480 	NErrs: 180 	BER: 1.5352E-04
NBits: 1174400 	NErrs: 180 	BER: 1.5327E-04
NBits: 1175680 	NErrs: 181 	BER: 1.5395E-04
NBits: 1176640 	NErrs: 181 	BER: 1.5383E-04
