Press Enter to quit: NBits: 480 	NErrs: 0 	BER: 0.0000E+00
NBits: 166080 	NErrs: 28 	BER: 1.6859E-04
NBits: 167520 	NErrs: 29 	BER: 1.7311E-04
NBits: 167840 	NErrs: 29 	BER: 1.7278E-04
NBits: 168800 	NErrs: 29 	BER: 1.7180E-04
NBits: 169600 	NErrs: 29 	BER: 1.7099E-04
NBits: 170560 	NErrs: 29 	BER: 1.7003E-04
NBits: 171360 	NErrs: 29 	BER: 1.6923E-04
NBits: 171840 	NErrs: 29 	BER: 1.6876E-04
NBits: 172800 	NErrs: 29 	BER: 1.6782E-04
NBits: 172960 	NErrs: 29 	BER: 1.6767E-04
NBits: 174720 	NErrs: 30 	BER: 1.7170E-04
NBits: 175680 	NErrs: 30 	BER: 1.7077E-04
NBits: 176480 	NErrs: 31 	BER: 1.7566E-04
NBits: 176960 	NErrs: 31 	BER: 1.7518E-04
NBits: 177920 	NErrs: 31 	BER: 1.7424E-04
NBits: 178080 	NErrs: 31 	BER: 1.7408E-04
NBits: 179040 	NErrs: 31 	BER: 1.7315E-04
NBits: 179840 	NErrs: 31 	BER: 1.7238E-04
NBits: 180320 	NErrs: 31 	BER: 1.7192E-04
NBits: 181280 	NErrs: 31 	BER: 1.7101E-04
NBits: 181440 	NErrs: 31 	BER: 1.7086E-04
NBits: 182560 	NErrs: 31 	BER: 1.6981E-04
NBits: 184160 	NErrs: 32 	BER: 1.7376E-04
NBits: 184960 	NErrs: 32 	BER: 1.7301E-04
NBits: 185440 	NErrs: 32 	BER: 1.7256E-04
NBits: 186720 	NErrs: 33 	BER: 1.7674E-04
NBits: 187680 	NErrs: 33 	BER: 1.7583E-04
NBits: 188320 	NErrs: 33 	BER: 1.7523E-04
NBits: 189760 	NErrs: 33 	BER: 1.7390E-04
NBits: 190080 	NErrs: 33 	BER: 1.7361E-04
NBits: 191040 	NErrs: 33 	BER: 1.7274E-04
NBits: 191840 	NErrs: 33 	BER: 1.7202E-04
NBits: 192320 	NErrs: 33 	BER: 1.7159E-04
NBits: 193280 	NErrs: 33 	BER: 1.7074E-04
NBits: 193920 	NErrs: 33 	BER: 1.7017E-04
NBits: 195520 	NErrs: 33 	BER: 1.6878E-04
NBits: 196480 	NErrs: 33 	BER: 1.6796E-04
NBits: 197280 	NErrs: 33 	BER: 1.6727E-04
NBits: 198720 	NErrs: 33 	BER: 1.6606E-04
NBits: 200640 	NErrs: 33 	BER: 1.6447E-04
NBits: 202560 	NErrs: 33 	BER: 1.6291E-04
NBits: 204480 	NErrs: 35 	BER: 1.7117E-04
NBits: 205440 	NErrs: 35 	BER: 1.7037E-04
NBits: 206400 	NErrs: 35 	BER: 1.6957E-04
NBits: 207520 	NErrs: 35 	BER: 1.6866E-04
NBits: 209440 	NErrs: 36 	BER: 1.7189E-04
NBits: 210400 	NErrs: 36 	BER: 1.7110E-04
NBits: 211360 	NErrs: 36 	BER: 1.7033E-04
NBits: 212320 	NErrs: 36 	BER: 1.6956E-04
NBits: 212640 	NErrs: 36 	BER: 1.6930E-04
NBits: 213600 	NErrs: 36 	BER: 1.6854E-04
NBits: 215520 	NErrs: 38 	BER: 1.7632E-04
NBits: 217440 	NErrs: 38 	BER: 1.7476E-04
NBits: 219360 	NErrs: 38 	BER: 1.7323E-04
NBits: 219520 	NErrs: 38 	BER: 1.7310E-04
NBits: 220480 	NErrs: 38 	BER: 1.7235E-04
NBits: 221120 	NErrs: 38 	BER: 1.7185E-04
NBits: 222080 	NErrs: 38 	BER: 1.7111E-04
NBits: 222880 	NErrs: 39 	BER: 1.7498E-04
NBits: 223360 	NErrs: 39 	BER: 1.7461E-04
NBits: 224640 	NErrs: 39 	BER: 1.7361E-04
NBits: 225600 	NErrs: 40 	BER: 1.7730E-04
NBits: 226560 	NErrs: 40 	BER: 1.7655E-04
NBits: 227520 	NErrs: 40 	BER: 1.7581E-04
NBits: 230080 	NErrs: 40 	BER: 1.7385E-04
NBits: 231040 	NErrs: 40 	BER: 1.7313E-04
