Press Enter to quit: NBits: 4000 	NErrs: 0 	BER: 0.0000E+00
NBits: 584480 	NErrs: 80 	BER: 1.3687E-04
NBits: 585440 	NErrs: 80 	BER: 1.3665E-04
NBits: 587360 	NErrs: 81 	BER: 1.3791E-04
NBits: 591360 	NErrs: 81 	BER: 1.3697E-04
NBits: 595360 	NErrs: 81 	BER: 1.3605E-04
NBits: 597280 	NErrs: 81 	BER: 1.3561E-04
NBits: 601280 	NErrs: 81 	BER: 1.3471E-04
NBits: 605280 	NErrs: 83 	BER: 1.3713E-04
NBits: 606240 	NErrs: 84 	BER: 1.3856E-04
NBits: 607200 	NErrs: 84 	BER: 1.3834E-04
NBits: 608000 	NErrs: 84 	BER: 1.3816E-04
NBits: 612000 	NErrs: 85 	BER: 1.3889E-04
NBits: 614880 	NErrs: 85 	BER: 1.3824E-04
NBits: 618880 	NErrs: 86 	BER: 1.3896E-04
NBits: 620800 	NErrs: 86 	BER: 1.3853E-04
NBits: 624800 	NErrs: 87 	BER: 1.3924E-04
NBits: 626720 	NErrs: 88 	BER: 1.4041E-04
NBits: 630720 	NErrs: 88 	BER: 1.3952E-04
NBits: 638880 	NErrs: 90 	BER: 1.4087E-04
NBits: 639040 	NErrs: 90 	BER: 1.4084E-04
NBits: 643040 	NErrs: 90 	BER: 1.3996E-04
NBits: 644960 	NErrs: 92 	BER: 1.4264E-04
NBits: 645760 	NErrs: 92 	BER: 1.4247E-04
NBits: 649760 	NErrs: 92 	BER: 1.4159E-04
NBits: 651680 	NErrs: 92 	BER: 1.4117E-04
NBits: 655680 	NErrs: 94 	BER: 1.4336E-04
NBits: 657600 	NErrs: 94 	BER: 1.4294E-04
NBits: 659520 	NErrs: 94 	BER: 1.4253E-04
NBits: 661440 	NErrs: 94 	BER: 1.4211E-04
NBits: 665440 	NErrs: 96 	BER: 1.4427E-04
NBits: 669440 	NErrs: 96 	BER: 1.4340E-04
NBits: 671840 	NErrs: 98 	BER: 1.4587E-04
NBits: 675840 	NErrs: 98 	BER: 1.4500E-04
NBits: 679840 	NErrs: 99 	BER: 1.4562E-04
NBits: 680320 	NErrs: 99 	BER: 1.4552E-04
NBits: 682240 	NErrs: 99 	BER: 1.4511E-04
NBits: 683200 	NErrs: 99 	BER: 1.4491E-04
NBits: 687200 	NErrs: 99 	BER: 1.4406E-04
NBits: 689120 	NErrs: 99 	BER: 1.4366E-04
NBits: 690080 	NErrs: 99 	BER: 1.4346E-04
NBits: 690720 	NErrs: 99 	BER: 1.4333E-04
NBits: 691680 	NErrs: 100 	BER: 1.4458E-04
NBits: 692320 	NErrs: 100 	BER: 1.4444E-04
NBits: 692480 	NErrs: 100 	BER: 1.4441E-04
NBits: 694400 	NErrs: 100 	BER: 1.4401E-04
NBits: 698400 	NErrs: 100 	BER: 1.4318E-04
NBits: 702400 	NErrs: 101 	BER: 1.4379E-04
NBits: 704320 	NErrs: 101 	BER: 1.4340E-04
NBits: 704480 	NErrs: 101 	BER: 1.4337E-04
NBits: 708480 	NErrs: 101 	BER: 1.4256E-04
NBits: 710400 	NErrs: 101 	BER: 1.4217E-04
NBits: 711360 	NErrs: 101 	BER: 1.4198E-04
NBits: 715360 	NErrs: 101 	BER: 1.4119E-04
NBits: 717280 	NErrs: 101 	BER: 1.4081E-04
NBits: 721280 	NErrs: 101 	BER: 1.4003E-04
NBits: 723200 	NErrs: 101 	BER: 1.3966E-04
NBits: 725120 	NErrs: 101 	BER: 1.3929E-04
NBits: 727040 	NErrs: 101 	BER: 1.3892E-04
