Press Enter to quit: NBits: 4032 	NErrs: 1 	BER: 2.4802E-04
NBits: 756000 	NErrs: 14 	BER: 1.8519E-05
NBits: 758016 	NErrs: 14 	BER: 1.8469E-05
NBits: 762048 	NErrs: 14 	BER: 1.8372E-05
NBits: 766080 	NErrs: 14 	BER: 1.8275E-05
NBits: 768096 	NErrs: 14 	BER: 1.8227E-05
NBits: 772128 	NErrs: 15 	BER: 1.9427E-05
NBits: 774144 	NErrs: 15 	BER: 1.9376E-05
NBits: 778176 	NErrs: 15 	BER: 1.9276E-05
NBits: 782208 	NErrs: 15 	BER: 1.9176E-05
NBits: 786240 	NErrs: 15 	BER: 1.9078E-05
NBits: 790272 	NErrs: 15 	BER: 1.8981E-05
NBits: 794304 	NErrs: 15 	BER: 1.8884E-05
NBits: 798336 	NErrs: 15 	BER: 1.8789E-05
NBits: 802368 	NErrs: 15 	BER: 1.8695E-05
NBits: 806400 	NErrs: 15 	BER: 1.8601E-05
NBits: 808416 	NErrs: 15 	BER: 1.8555E-05
NBits: 816480 	NErrs: 15 	BER: 1.8372E-05
NBits: 820512 	NErrs: 15 	BER: 1.8281E-05
NBits: 824544 	NErrs: 15 	BER: 1.8192E-05
NBits: 826560 	NErrs: 15 	BER: 1.8148E-05
NBits: 828576 	NErrs: 15 	BER: 1.8103E-05
NBits: 832608 	NErrs: 15 	BER: 1.8016E-05
NBits: 836640 	NErrs: 15 	BER: 1.7929E-05
NBits: 838656 	NErrs: 15 	BER: 1.7886E-05
NBits: 840672 	NErrs: 15 	BER: 1.7843E-05
NBits: 844704 	NErrs: 15 	BER: 1.7758E-05
NBits: 846720 	NErrs: 15 	BER: 1.7715E-05
NBits: 848736 	NErrs: 15 	BER: 1.7673E-05
NBits: 852768 	NErrs: 16 	BER: 1.8762E-05
NBits: 856800 	NErrs: 16 	BER: 1.8674E-05
NBits: 860832 	NErrs: 16 	BER: 1.8587E-05
NBits: 864864 	NErrs: 16 	BER: 1.8500E-05
NBits: 866880 	NErrs: 16 	BER: 1.8457E-05
NBits: 868896 	NErrs: 16 	BER: 1.8414E-05
NBits: 870912 	NErrs: 16 	BER: 1.8372E-05
NBits: 878976 	NErrs: 17 	BER: 1.9341E-05
NBits: 883008 	NErrs: 18 	BER: 2.0385E-05
NBits: 887040 	NErrs: 18 	BER: 2.0292E-05
NBits: 889056 	NErrs: 18 	BER: 2.0246E-05
NBits: 891072 	NErrs: 18 	BER: 2.0200E-05
NBits: 895104 	NErrs: 18 	BER: 2.0109E-05
NBits: 897120 	NErrs: 18 	BER: 2.0064E-05
NBits: 899136 	NErrs: 18 	BER: 2.0019E-05
NBits: 903168 	NErrs: 18 	BER: 1.9930E-05
NBits: 905184 	NErrs: 19 	BER: 2.0990E-05
NBits: 909216 	NErrs: 19 	BER: 2.0897E-05
NBits: 913248 	NErrs: 19 	BER: 2.0805E-05
NBits: 917280 	NErrs: 19 	BER: 2.0713E-05
NBits: 919296 	NErrs: 19 	BER: 2.0668E-05
NBits: 921312 	NErrs: 19 	BER: 2.0623E-05
NBits: 925344 	NErrs: 19 	BER: 2.0533E-05
NBits: 929376 	NErrs: 19 	BER: 2.0444E-05
NBits: 931392 	NErrs: 19 	BER: 2.0400E-05
NBits: 933408 	NErrs: 19 	BER: 2.0356E-05
NBits: 935424 	NErrs: 19 	BER: 2.0312E-05
NBits: 937440 	NErrs: 19 	BER: 2.0268E-05
NBits: 939456 	NErrs: 19 	BER: 2.0224E-05
NBits: 943488 	NErrs: 19 	BER: 2.0138E-05
NBits: 947520 	NErrs: 19 	BER: 2.0052E-05
NBits: 951552 	NErrs: 19 	BER: 1.9967E-05
NBits: 953568 	NErrs: 19 	BER: 1.9925E-05
NBits: 955584 	NErrs: 19 	BER: 1.9883E-05
NBits: 959616 	NErrs: 19 	BER: 1.9800E-05
NBits: 961632 	NErrs: 19 	BER: 1.9758E-05
NBits: 963648 	NErrs: 19 	BER: 1.9717E-05
NBits: 967680 	NErrs: 19 	BER: 1.9635E-05
NBits: 969696 	NErrs: 19 	BER: 1.9594E-05
NBits: 971712 	NErrs: 19 	BER: 1.9553E-05
NBits: 979776 	NErrs: 19 	BER: 1.9392E-05
NBits: 987840 	NErrs: 19 	BER: 1.9234E-05
NBits: 989856 	NErrs: 19 	BER: 1.9195E-05
NBits: 991872 	NErrs: 19 	BER: 1.9156E-05
NBits: 993888 	NErrs: 19 	BER: 1.9117E-05
NBits: 995904 	NErrs: 19 	BER: 1.9078E-05
NBits: 999936 	NErrs: 19 	BER: 1.9001E-05
NBits: 1001952 	NErrs: 19 	BER: 1.8963E-05
NBits: 1003968 	NErrs: 19 	BER: 1.8925E-05
NBits: 1008000 	NErrs: 22 	BER: 2.1825E-05
NBits: 1010016 	NErrs: 22 	BER: 2.1782E-05
NBits: 1012032 	NErrs: 22 	BER: 2.1738E-05
NBits: 1016064 	NErrs: 22 	BER: 2.1652E-05
NBits: 1018080 	NErrs: 22 	BER: 2.1609E-05
NBits: 1020096 	NErrs: 22 	BER: 2.1567E-05
NBits: 1024128 	NErrs: 22 	BER: 2.1482E-05
NBits: 1026144 	NErrs: 22 	BER: 2.1439E-05
NBits: 1028160 	NErrs: 22 	BER: 2.1397E-05
NBits: 1032192 	NErrs: 22 	BER: 2.1314E-05
NBits: 1034208 	NErrs: 22 	BER: 2.1272E-05
NBits: 1036224 	NErrs: 22 	BER: 2.1231E-05
NBits: 1042272 	NErrs: 22 	BER: 2.1108E-05
NBits: 1044288 	NErrs: 22 	BER: 2.1067E-05
NBits: 1048320 	NErrs: 22 	BER: 2.0986E-05
NBits: 1054368 	NErrs: 22 	BER: 2.0866E-05
NBits: 1064448 	NErrs: 22 	BER: 2.0668E-05
NBits: 1066464 	NErrs: 22 	BER: 2.0629E-05
NBits: 1068480 	NErrs: 22 	BER: 2.0590E-05
NBits: 1070496 	NErrs: 22 	BER: 2.0551E-05
NBits: 1078560 	NErrs: 22 	BER: 2.0398E-05
NBits: 1082592 	NErrs: 23 	BER: 2.1245E-05
NBits: 1086624 	NErrs: 23 	BER: 2.1166E-05
NBits: 1088640 	NErrs: 23 	BER: 2.1127E-05
NBits: 1092672 	NErrs: 23 	BER: 2.1049E-05
NBits: 1094688 	NErrs: 23 	BER: 2.1011E-05
NBits: 1096704 	NErrs: 23 	BER: 2.0972E-05
NBits: 1100736 	NErrs: 23 	BER: 2.0895E-05
NBits: 1102752 	NErrs: 23 	BER: 2.0857E-05
NBits: 1110816 	NErrs: 24 	BER: 2.1606E-05
NBits: 1114848 	NErrs: 24 	BER: 2.1528E-05
NBits: 1118880 	NErrs: 24 	BER: 2.1450E-05
NBits: 1122912 	NErrs: 24 	BER: 2.1373E-05
NBits: 1126944 	NErrs: 24 	BER: 2.1297E-05
NBits: 1130976 	NErrs: 24 	BER: 2.1221E-05
NBits: 1132992 	NErrs: 24 	BER: 2.1183E-05
NBits: 1135008 	NErrs: 24 	BER: 2.1145E-05
